ttfi_id,player_name,institution,momentum_score,volatility_index,pressure_score,total_pts,cluster,archetype,pca_1,pca_2
200813,Chitale Diya Parag,RBI,399.29,48.06,375.0,360.0,3,Elite Core,6.282732972538772,1.578733751928588
205498,Das Syndrela,BNG,198.0,39.24,260.0,260.0,2,Elite Core,3.585795730555107,1.2309019752288521
203203,Mukherjee Sutirtha,RSPB,362.11,34.96,100.0,255.0,2,Rising Star,2.893900914340643,-0.09626593209974568
200805,Ghosh Swastika,AAI,198.4,17.85,100.0,240.0,2,Steady Veteran,1.4933310515714535,1.0760668835819338
202096,Ghorpade Yashaswini,PSPB,243.92,24.42,200.0,225.0,2,Elite Core,2.560785995042899,1.0425856464271424
203189,Wani Sayali,PSPB,200.0,48.54,160.0,210.0,2,Elite Core,2.8419251507342587,-0.10200184477398852
203188,Kotecha Taneesha,MHR,120.0,23.23,160.0,190.0,2,Elite Core,1.4631704013835543,1.0454189146693524
201110,Kutumbale Anusha,RSPB,238.99,13.85,100.0,175.0,2,Steady Veteran,1.0754339517456781,0.5349208309480875
200507,Patkar Madhurika,PSPB,124.54,16.42,140.0,140.0,2,Elite Core,0.7474708494158956,0.7733721049208381
204811,Bhatt Kavya,MHR,20.0,,20.0,135.0,1,Steady Veteran,-0.5606074127237514,0.424987794544664
200736,Sivashankar Yashini,TN,136.3,7.53,80.0,125.0,1,Steady Veteran,-0.07106189266490985,0.6433978461571848
202570,Chande Ananya,MHR,80.0,28.28,140.0,125.0,2,Steady Veteran,0.8840085525187855,0.3354352633313675
200503,Akula Sreeja,RBI,640.77,54.98,240.0,120.0,3,Rising Star,4.896071465631564,-2.3463499475785246
200345,Krittwika Sinha Roy,GUJ,127.42,22.24,120.0,115.0,2,Steady Veteran,0.64856115666428,0.211170129163952
205154,Maji Sayanika,DLI,15.0,,15.0,105.0,1,Steady Veteran,-0.823724446931446,0.16315439694012465
200110,Selena Deepti Selvakumar,TN,109.46,2.64,55.0,95.0,1,Steady Veteran,-0.7496538485786551,0.554250189827768
200422,Saini Suhana,HRN,138.32,17.18,80.0,95.0,1,Steady Veteran,0.07840864545307892,-0.006469140326456116
200467,Rishya Reeth,PSPB,322.12,32.08,75.0,90.0,0,Rising Star,1.3098610120663392,-1.3606731479640206
205960,Bhowmick Divyanshi,MHR,40.0,,40.0,90.0,1,Steady Veteran,-0.635686105139539,0.07473539916162454
201046,Chakraborti Prithoki,HRN,46.0,5.77,40.0,80.0,1,Steady Veteran,-1.1168756877118993,0.45897326632824925
200442,D'souza Senhora Cezinha,MHR,65.38,7.8,47.0,72.0,1,Steady Veteran,-0.9656351291218059,0.2741535274864557
201853,Gogoi Trisha,ASM,52.24,5.09,29.0,70.0,1,Steady Veteran,-1.265347667671337,0.3202800964145702
203214,Banu Nikhat,TELG,72.94,8.13,75.0,70.0,1,Steady Veteran,-0.727528337896681,0.36349995119138856
